# Run the following dommand:
# python3 linefit_jkr.py SampleData_PDMS.txt -r 150e-9
# 
# indentation	load
2.0006591e-07	5.0495178e-08
1.9886167e-07	4.8684381e-08
1.9749763e-07	4.7269697e-08
1.9615642e-07	4.5798423e-08
1.9476956e-07	4.4440331e-08
1.9335987e-07	4.3138822e-08
1.9195016e-07	4.1837311e-08
1.9056331e-07	4.0479211e-08
1.8917645e-07	3.9121115e-08
1.8776674e-07	3.7819603e-08
1.8631141e-07	3.663127e-08
1.8487877e-07	3.5386346e-08
1.8344625e-07	3.4141426e-08
1.8196808e-07	3.3009677e-08
1.8051273e-07	3.1821344e-08
1.7903456e-07	3.0689595e-08
1.7760203e-07	2.9444671e-08
1.761467e-07	2.8256338e-08
1.7464569e-07	2.7181176e-08
1.7319034e-07	2.5992842e-08
1.7171217e-07	2.4861093e-08
1.70234e-07	2.3729346e-08
1.6871017e-07	2.2710774e-08
1.6720917e-07	2.1635612e-08
1.65731e-07	2.0503865e-08
1.6422999e-07	1.9428704e-08
1.6272899e-07	1.8353544e-08
1.6122799e-07	1.7278385e-08
1.5972699e-07	1.6203224e-08
1.5822593e-07	1.5128064e-08
1.5667928e-07	1.4166078e-08
1.5513261e-07	1.3204093e-08
1.5363162e-07	1.2128933e-08
1.5210779e-07	1.1110359e-08
1.5058396e-07	1.0091787e-08
1.4903731e-07	9.1298009e-09
1.4751348e-07	8.1112272e-09
1.4598965e-07	7.0926545e-09
1.4442016e-07	6.187256e-09
1.4285068e-07	5.2818581e-09
1.4128113e-07	4.3764601e-09
1.3978014e-07	3.301299e-09
1.3825631e-07	2.2827269e-09
1.3668682e-07	1.3773298e-09
1.3509451e-07	5.2851928e-10
1.3352503e-07	-3.7687997e-10
1.3195555e-07	-1.2822792e-09
1.3038606e-07	-2.1876763e-09
1.2881658e-07	-3.0930756e-09
1.2722427e-07	-3.9418859e-09
1.2567762e-07	-4.9038715e-09
1.240853e-07	-5.7526823e-09
1.2253858e-07	-6.7146679e-09
1.2094628e-07	-7.5634787e-09
1.1933113e-07	-8.3557001e-09
1.1773882e-07	-9.2045109e-09
1.1614652e-07	-1.0053324e-08
1.1453137e-07	-1.0845546e-08
1.1296189e-07	-1.1750945e-08
1.1134675e-07	-1.2543167e-08
1.0970879e-07	-1.3278804e-08
1.0811647e-07	-1.4127615e-08
1.0650134e-07	-1.4919836e-08
1.0488614e-07	-1.5712061e-08
1.0329383e-07	-1.6560874e-08
1.0167869e-07	-1.7353097e-08
1.0004073e-07	-1.8088732e-08
9.8425588e-08	-1.8880957e-08
9.6833276e-08	-1.9729764e-08
9.5172481e-08	-2.0408816e-08
9.3511687e-08	-2.1087862e-08
9.1896553e-08	-2.1880087e-08
9.0235758e-08	-2.2559133e-08
8.8574964e-08	-2.3238185e-08
8.691417e-08	-2.3917231e-08
8.5298979e-08	-2.4709456e-08
8.3638184e-08	-2.5388502e-08
8.1931731e-08	-2.5954376e-08
8.0270944e-08	-2.6633426e-08
7.861015e-08	-2.7312474e-08
7.6949355e-08	-2.7991526e-08
7.5288561e-08	-2.8670572e-08
7.3582115e-08	-2.9236444e-08
7.1875661e-08	-2.9802319e-08
7.0169214e-08	-3.0368192e-08
6.853125e-08	-3.1103827e-08
6.6824803e-08	-3.1669707e-08
6.5141123e-08	-3.2292164e-08
6.3480329e-08	-3.2971215e-08
6.1773882e-08	-3.3537088e-08
6.0090258e-08	-3.4159548e-08
5.8406641e-08	-3.4782008e-08
5.6677365e-08	-3.5291297e-08
5.4948089e-08	-3.5800582e-08
5.3241642e-08	-3.6366458e-08
5.1535196e-08	-3.6932331e-08
4.9828746e-08	-3.7498204e-08
4.8099469e-08	-3.8007489e-08
4.6392962e-08	-3.8573365e-08
4.466369e-08	-3.9082654e-08
4.2911587e-08	-3.9535347e-08
4.1159481e-08	-3.9988048e-08
3.9430205e-08	-4.0497333e-08
3.7678106e-08	-4.0950034e-08
3.594883e-08	-4.145932e-08
3.4196724e-08	-4.1912021e-08
3.2467447e-08	-4.2421306e-08
3.0738175e-08	-4.2930594e-08
2.8940416e-08	-4.327012e-08
2.7165486e-08	-4.366623e-08
2.5367671e-08	-4.4005755e-08
2.3547084e-08	-4.428869e-08
2.1772154e-08	-4.46848e-08
1.9974397e-08	-4.5024329e-08
1.8153811e-08	-4.5307264e-08
1.6356053e-08	-4.5646786e-08
1.451264e-08	-4.5873136e-08
1.2669227e-08	-4.6099487e-08
1.0802987e-08	-4.626925e-08
8.9595744e-09	-4.64956e-08
7.1161619e-09	-4.6721951e-08
5.2499214e-09	-4.689171e-08
3.3607961e-09	-4.7004885e-08
1.4717294e-09	-4.7118061e-08
-4.1733905e-10	-4.7231236e-08
-2.3292337e-09	-4.7287823e-08
-4.2639563e-09	-4.7287823e-08
-6.2215069e-09	-4.7231236e-08
-8.2018836e-09	-4.7118061e-08
-1.0227916e-08	-4.689171e-08
-1.2231121e-08	-4.6721951e-08
-1.4257154e-08	-4.64956e-08
-1.6283186e-08	-4.626925e-08
-1.8309276e-08	-4.6042899e-08
-2.0426617e-08	-4.5590202e-08
-2.254396e-08	-4.5137501e-08
-2.4706956e-08	-4.4571628e-08
-2.6938435e-08	-4.3835993e-08
-2.9169914e-08	-4.3100357e-08
-3.1447051e-08	-4.2251543e-08
-3.3747011e-08	-4.1346148e-08
-3.60698e-08	-4.0384162e-08
-3.8506727e-08	-3.9139238e-08
-4.0897998e-08	-3.8007489e-08
-4.3357751e-08	-3.670598e-08
-4.5794735e-08	-3.546106e-08
-4.8208832e-08	-3.4272723e-08
-5.062293e-08	-3.3084387e-08
-5.3105513e-08	-3.1726291e-08
-5.5542436e-08	-3.048137e-08
-5.7956537e-08	-2.9293034e-08
-6.0370638e-08	-2.8104697e-08
-6.29217e-08	-2.6576839e-08
-6.5655385e-08	-2.4596282e-08
-6.8389063e-08	-2.2615723e-08
-7.1122749e-08	-2.0635163e-08
-7.3719463e-08	-1.8994129e-08
-7.6293418e-08	-1.7409683e-08
-7.8730338e-08	-1.6164762e-08
-8.105313e-08	-1.5202776e-08
-8.3330264e-08	-1.4353965e-08
-8.5584567e-08	-1.3561741e-08
-8.7747566e-08	-1.2995867e-08
-8.9910564e-08	-1.2429994e-08
-9.2050733e-08	-1.1920706e-08
-9.4168072e-08	-1.1468008e-08
-9.6262589e-08	-1.1071896e-08
-9.8334276e-08	-1.0732371e-08
-1.0036037e-07	-1.0506022e-08
-1.0243205e-07	-1.0166497e-08
-1.0445809e-07	-9.9401483e-09
-1.0652978e-07	-9.6006234e-09
-1.0860146e-07	-9.2610994e-09
-1.1069598e-07	-8.8649879e-09
-1.1285897e-07	-8.2991143e-09
-1.1502197e-07	-7.7332398e-09
-1.1720779e-07	-7.1107777e-09
-1.1943928e-07	-6.3751426e-09
-1.2217295e-07	-4.3945847e-09
-1.2483815e-07	-2.5837883e-09
-1.2677293e-07	-2.5837883e-09
-1.2868483e-07	-2.6403748e-09
-1.3061955e-07	-2.6403748e-09
-1.3253145e-07	-2.6969635e-09
-1.3444334e-07	-2.7535498e-09
-1.3635524e-07	-2.8101363e-09
-1.3826714e-07	-2.8667251e-09
-1.4017903e-07	-2.9233116e-09
-1.4211375e-07	-2.9233116e-09
-1.4400283e-07	-3.0364868e-09
-1.4593755e-07	-3.0364868e-09
-1.4784943e-07	-3.0930756e-09
-1.4978421e-07	-3.0930756e-09
-1.5167329e-07	-3.2062484e-09
-1.5358518e-07	-3.2628371e-09
-1.555199e-07	-3.2628371e-09
-1.5740898e-07	-3.3760124e-09
